Geo Point;Geo Shape;Eindeutiger Identifikator des Unfalls;Beschreibung zum Unfalltyp;Beschreibung der Unfallschwerekategorie;Unfalljahr;Unfallmonat;Wochentag;Unfallstunde;Strassenart;Fussgängerbeteiligung;Fahrradbeteiligung;Motorradbeteiligung
47.547904363642026, 7.592554490421619;"{""coordinates"": [7.592554490421619, 47.547904363642026], ""type"": ""Point""}";1487;Überholunfall oder Fahrstreifenwechsel;1 Unfall mit Sachschaden;2012;8;4 Donnerstag;2;Nebenstrasse;false;false;false
47.549013669506465, 7.559400570294506;"{""coordinates"": [7.559400570294506, 47.549013669506465], ""type"": ""Point""}";1494;Parkierunfall;1 Unfall mit Sachschaden;2012;8;5 Freitag;;Nebenstrasse;false;false;false
47.56915038059129, 7.59039645328549;"{""coordinates"": [7.59039645328549, 47.56915038059129], ""type"": ""Point""}";1495;Schleuder- oder Selbstunfall;2 Unfall mit Leichtverletzten;2012;8;6 Samstag;2;Nebenstrasse;false;true;false
47.57760766856241, 7.5878951545107185;"{""coordinates"": [7.587895154510718, 47.57760766856241], ""type"": ""Point""}";1511;Parkierunfall;1 Unfall mit Sachschaden;2012;8;6 Samstag;;Nebenstrasse;false;false;false
47.55723365181183, 7.575933819737375;"{""coordinates"": [7.575933819737375, 47.55723365181183], ""type"": ""Point""}";1513;Parkierunfall;1 Unfall mit Sachschaden;2012;8;2 Dienstag;7;Nebenstrasse;false;false;false
47.53920052999326, 7.60411101358387;"{""coordinates"": [7.60411101358387, 47.53920052999326], ""type"": ""Point""}";1518;Parkierunfall;1 Unfall mit Sachschaden;2012;8;4 Donnerstag;16;andere;false;false;false
47.54338078255422, 7.599010129575262;"{""coordinates"": [7.599010129575262, 47.54338078255422], ""type"": ""Point""}";1520;Abbiegeunfall;3 Unfall mit Schwerverletzten;2012;8;4 Donnerstag;23;Nebenstrasse;false;true;false
47.562978369941476, 7.598856403623943;"{""coordinates"": [7.598856403623943, 47.562978369941476], ""type"": ""Point""}";1521;Parkierunfall;1 Unfall mit Sachschaden;2012;8;4 Donnerstag;;Nebenstrasse;false;false;false
47.561466297569, 7.586082843536636;"{""coordinates"": [7.586082843536636, 47.561466297569], ""type"": ""Point""}";1536;Einbiegeunfall;3 Unfall mit Schwerverletzten;2012;8;3 Mittwoch;8;Nebenstrasse;false;true;false
47.56283847402529, 7.581967486581084;"{""coordinates"": [7.581967486581084, 47.56283847402529], ""type"": ""Point""}";1537;Abbiegeunfall;2 Unfall mit Leichtverletzten;2012;8;3 Mittwoch;9;Nebenstrasse;false;true;false
47.58352206256616, 7.653405114561529;"{""coordinates"": [7.653405114561529, 47.58352206256616], ""type"": ""Point""}";1542;Schleuder- oder Selbstunfall;1 Unfall mit Sachschaden;2012;8;5 Freitag;1;Nebenstrasse;false;false;false
47.53760914064419, 7.597279516749712;"{""coordinates"": [7.597279516749712, 47.53760914064419], ""type"": ""Point""}";1555;Parkierunfall;1 Unfall mit Sachschaden;2012;9;4 Donnerstag;;Nebenstrasse;false;false;false
47.57208573608804, 7.613622228540584;"{""coordinates"": [7.613622228540584, 47.57208573608804], ""type"": ""Point""}";1557;Überqueren der Fahrbahn;3 Unfall mit Schwerverletzten;2012;9;5 Freitag;7;Nebenstrasse;false;true;false
47.56656425843334, 7.572383190060853;"{""coordinates"": [7.572383190060853, 47.56656425843334], ""type"": ""Point""}";1592;Parkierunfall;1 Unfall mit Sachschaden;2012;9;6 Samstag;4;Nebenstrasse;false;false;false
47.57281965777054, 7.627419736079449;"{""coordinates"": [7.627419736079449, 47.57281965777054], ""type"": ""Point""}";1593;Frontalkollision;3 Unfall mit Schwerverletzten;2012;9;6 Samstag;19;Hauptstrasse;false;false;false
47.54257271995972, 7.591290573041595;"{""coordinates"": [7.591290573041595, 47.54257271995972], ""type"": ""Point""}";1599;Auffahrunfall;1 Unfall mit Sachschaden;2012;9;1 Montag;15;Hauptstrasse;false;false;false
47.56381634140799, 7.627799789654558;"{""coordinates"": [7.627799789654558, 47.56381634140799], ""type"": ""Point""}";1600;Parkierunfall;1 Unfall mit Sachschaden;2012;9;1 Montag;;Nebenstrasse;false;false;false
47.54169425816093, 7.602378763417945;"{""coordinates"": [7.602378763417945, 47.54169425816093], ""type"": ""Point""}";1601;Fussgängerunfall;3 Unfall mit Schwerverletzten;2012;9;2 Dienstag;14;Nebenstrasse;true;false;false
47.56980832067617, 7.608910339460312;"{""coordinates"": [7.608910339460312, 47.56980832067617], ""type"": ""Point""}";1607;Parkierunfall;1 Unfall mit Sachschaden;2012;9;5 Freitag;17;Nebenstrasse;false;false;false
47.58990051503278, 7.66656567067067;"{""coordinates"": [7.66656567067067, 47.58990051503278], ""type"": ""Point""}";1611;Parkierunfall;1 Unfall mit Sachschaden;2012;10;1 Montag;14;Nebenstrasse;false;false;false
47.54883948550499, 7.585769029724612;"{""coordinates"": [7.585769029724612, 47.54883948550499], ""type"": ""Point""}";1614;Abbiegeunfall;2 Unfall mit Leichtverletzten;2012;10;2 Dienstag;14;Nebenstrasse;false;true;false
47.5582459188388, 7.5716449094424405;"{""coordinates"": [7.571644909442441, 47.5582459188388], ""type"": ""Point""}";1625;Tierunfall;2 Unfall mit Leichtverletzten;2012;10;6 Samstag;15;Nebenstrasse;true;true;false
47.575775071874055, 7.634979386522701;"{""coordinates"": [7.634979386522701, 47.575775071874055], ""type"": ""Point""}";1627;Parkierunfall;1 Unfall mit Sachschaden;2012;10;7 Sonntag;19;Hauptstrasse;false;false;false
47.56155938252235, 7.568291483158971;"{""coordinates"": [7.568291483158971, 47.56155938252235], ""type"": ""Point""}";1629;Fussgängerunfall;2 Unfall mit Leichtverletzten;2012;10;2 Dienstag;7;Nebenstrasse;true;false;false
47.56194887726841, 7.57378009837268;"{""coordinates"": [7.57378009837268, 47.56194887726841], ""type"": ""Point""}";1633;Überqueren der Fahrbahn;1 Unfall mit Sachschaden;2012;10;3 Mittwoch;7;Nebenstrasse;false;true;false
